15,Regular,,6,12.7
15,Regular,1,6,13.7
15,Regular,2,6,15.2
15,Regular,3,6,16.2
15,Regular,,7,17.95
15,Regular,1,7,19.95
15,Regular,2,7,21.95
15,Regular,3,7,23.95
15,Sicilian,,6,24.45
15,Sicilian,1,6,26.45
15,Sicilian,2,6,28.45
15,Sicilian,3,6,29.45
15,Sicilian,,7,38.7
15,Sicilian,1,7,40.7
15,Sicilian,2,7,42.7
15,Sicilian,3,7,44.7
17,Cheese,,6,6.5
17,Italian,,6,6.5
17,Ham + Cheese,,6,6.5
17,Meatball,,6,6.5
17,Tuna,,6,6.5
17,Turkey,,6,7.5
17,Chicken Parmigiana,,6,7.5
17,Eggplant Parmigiana,,6,6.5
17,Steak,,6,6.5
17,Steak + Cheese,,6,6.95
17,Hamburger,,6,4.6
17,Cheeseburger,,6,5.1
17,Fried Chicken,,6,6.95
17,Veggie,,6,6.95
17,Cheese,,7,7.95
17,Italian,,7,7.95
17,Ham + Cheese,,7,7.95
17,Meatball,,7,7.95
17,Tuna,,7,7.95
17,Turkey,,7,8.5
17,Chicken Parmigiana,,7,8.5
17,Eggplant Parmigiana,,7,7.95
17,Steak,,7,7.95
17,Steak + Cheese,,7,8.5
17,"Sausage, Peppers & Onions",,7,8.5
17,Hamburger,,7,6.95
17,Cheeseburger,,7,7.45
17,Fried Chicken,,7,8.5
17,Veggie,,7,8.5
13,Garden Salad,,,6.25
13,Greek Salad,,,8.25
13,Antipasto,,,8.25
13,Salad w/Tuna,,,8.25
18,Garden Salad,,6,35
18,Greek Salad,,6,45
18,Antipasto,,6,45
18,Baked Ziti,,6,35
18,Meatball Parm,,6,45
18,Chicken Parm,,6,45
18,Garden Salad,,7,60
18,Greek Salad,,7,70
18,Antipasto,,7,70
18,Baked Ziti,,7,60
18,Meatball Parm,,7,70
18,Chicken Parm,,7,80
16,Baked Ziti w/Mozzarella,,,6.5
16,Baked Ziti w/Meatballs,,,8.75
16,Baked Ziti w/Chicken,,,9.75
